city,summary
Thailand,No summary available.
Turkey,"Turkey, officially the Republic of Türkiye, is a country mainly located in Anatolia in West Asia, with a relatively small part called East Thrace in Southeast Europe. It borders the Black Sea to the north; Georgia, Armenia, Azerbaijan, and Iran to the east; Iraq, Syria, and the Mediterranean Sea to the south; and the Aegean Sea, Greece, and Bulgaria to the west."
United Kingdom,"The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (UK) or Britain, is a country in Northwestern Europe, off the coast of the continental mainland. It comprises England, Scotland, Wales and Northern Ireland."
Hong Kong,No summary available.
Saudi Arabia,"Saudi Arabia, officially the Kingdom of Saudi Arabia (KSA), is a country in West Asia. Located in the centre of the Middle East, it covers the bulk of the Arabian Peninsula and has a land area of about 2,150,000 km2 (830,000 sq mi), making it the fifth-largest country in Asia, the largest in the Middle East, and the 12th-largest in the world."
United Arab Emirates,"The United Arab Emirates (UAE), or simply the Emirates, is a country in West Asia, in the Middle East, at the eastern end of the Arabian Peninsula. It is a federal semi-constitutional monarchy made up of seven emirates, with Abu Dhabi serving as its capital."
Macau,No summary available.
France,No summary available.
Malaysia,No summary available.
Chennai,"Chennai, also known as Madras (its official name until 1996), is the capital and largest city of Tamil Nadu, the southernmost state of India. It is located on the Coromandel Coast of the Bay of Bengal."
Coimbatore,"Coimbatore (Tamil: kōyamputtūr, IPA: [koːjɐmbut̪ːuːɾ]), also known as Kovai (IPA: [koːʋaj] ), is one of the major metropolitan cities in the Indian state of Tamil Nadu. It is located on the banks of the Noyyal River and surrounded by the Western Ghats."
Madurai,"Chennai, also known as Madras (its official name until 1996), is the capital and largest city of Tamil Nadu, the southernmost state of India. It is located on the Coromandel Coast of the Bay of Bengal."
Tiruchirappalli,"Tiruchirappalli (Tamil pronunciation: [ˈt̪iɾɯtːʃiɾapːaɭːi] ), also known as Trichy, is a major tier II city in the Indian state of Tamil Nadu and the administrative headquarters of Tiruchirappalli district. The city is credited with being the best livable and the cleanest city of Tamil Nadu, as well as the fifth safest city for women in India."
Salem,No summary available.
Thanjavur,"Thanjavur (Tamil: [t̪aɲdʑaːʋuːɾ]), also known as Thanjai, previously known as Tanjore, is a city in the Indian state of Tamil Nadu. It is the 12th biggest city in Tamil Nadu."
Kanyakumari,"Kanyakumari (Tamil; /kəɳjɑkʊmɑɾiː/; lit. 'The Unmarried girl(or Kanya)' referring to Devi Kanya Kumari, officially known as Kanniyakumari, formerly known as Cape Comorin) is a town and a municipality in Kanyakumari district in the state of Tamil Nadu, India. It is the southernmost tip of the contiguous Indian subcontinent and the southernmost city in mainland India, and thus it is informally referred to as ""The Land's End""."
Rameswaram,"Rameswaram (IPA: [ɾaːmeːsʋaɾam]; also transliterated as Ramesvaram, Rameshwaram) is a municipality in the Ramanathapuram district of the Indian state of Tamil Nadu. It is on Pamban Island separated from mainland India by the Pamban channel and is about 40 kilometres (25 mi) from Mannar Island, Sri Lanka."
Tirunelveli,"Tirunelveli (Tamil: [tiɾɯnelʋeːli] ), also known as Nellai and historically (during British rule) as Tinnevelly, is a major city in the Indian state of Tamil Nadu. It is the administrative headquarters of the Tirunelveli District."
Erode,"Europe is a continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east."
Bengaluru,"Bengaluru, also known as Bangalore (its official name until 1 November 2014), is the capital and largest city of the southern Indian state of Karnataka. As per the 2011 census, the city had a population of 8.4 million, making it the third most populous city in India and the most populous in South India."
Mysore,"Mysore (  my-SOR), officially Mysuru (Kannada: [ˈmaɪˈsuːɾu] ), is a city in the southern Indian state of Karnataka. It is the headquarters of Mysore district and Mysore division."
Mangalore,"Bengaluru, also known as Bangalore (its official name until 1 November 2014), is the capital and largest city of the southern Indian state of Karnataka. As per the 2011 census, the city had a population of 8.4 million, making it the third most populous city in India and the most populous in South India."
Hubli,"In Arabian mythology, Hubal (Arabic: هُبَل) was a god worshipped in pre-Islamic Arabia, notably by the Quraysh at the Kaaba in Mecca. The god's icon was a human figure believed to control acts of divination, which was performed by tossing arrows before the statue."
Belgaum,"Belgium, officially the Kingdom of Belgium, is a country in Northwestern Europe. Situated in a coastal lowland region known as the Low Countries, it is bordered by the Netherlands to the north, Germany to the east, Luxembourg to the southeast, France to the south, and the North Sea to the west."
Hyderabad,"Hyderabad is the capital and largest city of the Indian state of Telangana. It occupies 650 km2 (250 sq mi) on the Deccan Plateau along the banks of the Musi River, in the northern part of Southern India."
Warangal,"Wrangel or Wrangell is a Germanic surname. Notable people with the surname include:

Wrangel family, or Wrangell, a Baltic German noble family, including a list of notable family members
Basil Wrangell (1906–1977), Italian film and television editor and director
Herman Wrangel (c."
Vijayawada,"Vijayawada (  Vijay-uh-waw-duh), formerly known by its colonial name Bezawada, is the second largest city and a major commercial hub in the Andhra Pradesh state of India. The city forms an integral part of the Andhra Pradesh Capital Region and is situated on the banks of the Krishna River, flanked by the Eastern Ghats and the scenic Indrakeeladri Hills."
Visakhapatnam,"Visakhapatnam (; formerly known as Vizagapatam, and also referred to as Vizag, Visakha, and Waltair) is the largest and most populous metropolitan city in the Indian state of Andhra Pradesh. It is between the Eastern Ghats and the coast of the Bay of Bengal."
Mumbai,"Mumbai ( muum-BY; Marathi: Mumbaī, pronounced [ˈmumbəi] ), also known as Bombay ( bom-BAY; its official name until 1995), is the capital city of the Indian state of Maharashtra. Mumbai is the financial capital and the most populous city proper of India with an estimated population of 12.5 million (1.25 crore)."
Pune,No summary available.
Nagpur,Nagpur (Marathi: [naːɡpuːɾ]; ISO: Nāgapura) is the second capital and third-largest city of the Indian state of Maharashtra. It is called the heart of India because of its central geographical location.
Nashik,No summary available.
Shirdi,No summary available.
Delhi,"Del, or nabla, is an operator used in mathematics (particularly in vector calculus) as a vector differential operator, usually represented by the nabla symbol ∇. When applied to a function defined on a one-dimensional domain, it denotes the standard derivative of the function as defined in calculus."
Agra,No summary available.
Jaipur,"Jaipur (Hindi: Jayapura, pronounced [ˈd͡ʑɛʲpʊɾᵊ] ) is the capital and the largest city of the north-western Indian state of Rajasthan. As of 2011, the city had a population of 3.1 million, making it the tenth most populous city in the country."
Udaipur,"Jaipur (Hindi: Jayapura, pronounced [ˈd͡ʑɛʲpʊɾᵊ] ) is the capital and the largest city of the north-western Indian state of Rajasthan. As of 2011, the city had a population of 3.1 million, making it the tenth most populous city in the country."
Jaisalmer,"Jaisalmer , nicknamed The Golden city, is a city in the north-western Indian state of Rajasthan, located 575 kilometres (357 mi) west of the state capital Jaipur, in the heart of the Thar Desert. It serves as the administrative headquarters of Jaisalmer district."
Lucknow,No summary available.
Varanasi,"Varanasi (Hindi pronunciation: [ʋaːˈraːɳəsi], also Benares, Banaras Hindustani pronunciation: [bəˈnaːrəs]) or Kashi, is a city on the Ganges river in northern India that has a central place in the traditions of pilgrimage, death, and mourning in the Hindu world.  The city has a syncretic tradition of Islamic artisanship that underpins its religious tourism."
Bhopal,"Bhopal (Hindi: Bhōpāl, pronounced [bʱoːpaːlᵊ] ) is the capital city of the Indian state of Madhya Pradesh and the administrative headquarters of both Bhopal district and Bhopal division. It is known as the City of Lakes, due to presence of various natural and artificial lakes near the city boundary."
Indore,No summary available.
Gwalior,"Gwalior (Hindi: IPA: [ɡʋɑːlɪjəɾ], ) is a major city in the central Indian state of Madhya Pradesh; It is known as the Music City of India having oldest musical gharana in existence. It is a major sports, cultural, industrial, and political centre in Madhya Pradesh."
Ahmedabad,No summary available.
Surat,No summary available.
Gandhinagar,"Gandhinagar (Gujarati: gāndhīnagara, pronounced ['ɡaːnd̪ʱinəɡəɾᵊ] ) is the capital of the state of Gujarat in India. Gandhinagar is located approximately 23 km north of Ahmedabad, on the west central point of the industrial corridor between the megacities of Delhi and Mumbai."
Kolkata,"Kolkata, also known as Calcutta (its official name until 2001), is the capital and largest city of the Indian state of West Bengal. It lies on the eastern bank of the Hooghly River, 80 km (50 mi) west of the border with Bangladesh."
Darjeeling,"Darjeeling (, Nepali: [ˈdard͡ziliŋ], Bengali: [ˈdarˌdʒiliŋ]) is a city in the northernmost region of the Indian state of West Bengal. Located in the Eastern Himalayas, it has an average elevation of 2,045 metres (6,709 ft)."
Siliguri,"Siliguri (, Bengali pronunciation: [ʃiliɡuɽi];  ), also known as Shiliguri, is a major tier-II city in West Bengal. It forms the Twin Cities with the neighbouring city of Jalpaiguri."
Patna,No summary available.
Bodh Gaya,No summary available.
Guwahati,"Guwahati (Assamese: [ɡua.ɦa.ti]) the largest city of the Indian state of Assam, and also the largest metropolis in northeastern India. Dispur, the capital of Assam, is in the circuit city region located within Guwahati and is the seat of the Government of Assam."
Srinagar,"Srinagar ( ; Kashmiri: [siriːnagar]) is a city in Indian-administered  Jammu and Kashmir in the disputed Kashmir region. It is the largest city and summer capital of Jammu and Kashmir, which is an Indian-administered union territory."
Leh,"Soh (Persian: سه; also known as Sō and Sūh) is a village in Murcheh Khvort Rural District, in the Central District of Shahin Shahr and Meymeh County, Isfahan Province, Iran. At the 2006 census, its population was 403, in 141 families."
Manali,No summary available.
Shimla,No summary available.
Amritsar,"Amritsar, also known as Ambarsar, is the second-largest city in the Indian state of Punjab, after Ludhiana. Located in the Majha region, it is a major cultural, transportation and economic centre."
