name,date,city,temperature,description,country,population,timezone,latitude,longitude,summary
BLACKPINK WORLD TOUR <DEADLINE> IN HONG KONG,2026-01-24,Hong Kong,30.0,Overcast,,,,,,Famous for its unique vibe and attractions.
BLACKPINK WORLD TOUR <DEADLINE> IN HONG KONG,2026-01-25,Hong Kong,30.0,Overcast,,,,,,A must-visit place with rich culture!
Salem Red Sox vs. Fayetteville Woodpeckers,2025-07-18,Salem,27.2,Sunny,India,693236.0,,11.65,78.166666666,An amazing destination for all travelers!
Salem Red Sox vs. Fayetteville Woodpeckers,2025-07-19,Salem,27.2,Sunny,India,693236.0,,11.65,78.166666666,An unforgettable spot full of wonders!
Salem Red Sox vs. Fayetteville Woodpeckers,2025-07-20,Salem,27.2,Sunny,India,693236.0,,11.65,78.166666666,A must-visit place with rich culture!
Whiskey Myers - What We Were Born To Do Tour 2025,2025-07-20,Salem,27.2,Sunny,India,693236.0,,11.65,78.166666666,An amazing destination for all travelers!
Salem Red Sox vs. Charleston Riverdogs,2025-07-22,Salem,27.2,Sunny,India,693236.0,,11.65,78.166666666,A must-visit place with rich culture!
Chennai Music Festival,2025-07-10,Chennai,33.1,Partly Cloudy,India,6599000.0,,13.0825,80.275,"Chennai, also known as Madras (its official name until 1996), is the capital and largest city of Tamil Nadu, the southernmost state of India. It is located on the Coromandel Coast of the Bay of Bengal."
Coimbatore Food Carnival,2025-07-11,Coimbatore,32.5,Sunny,India,959823.0,,11.0,76.966666666,"Coimbatore (Tamil: kōyamputtūr, IPA: [koːjɐmbut̪ːuːɾ]), also known as Kovai (IPA: [koːʋaj] ), is one of the major metropolitan cities in the Indian state of Tamil Nadu. It is located on the banks of the Noyyal River and surrounded by the Western Ghats."
Madurai Marathon,2025-07-12,Madurai,34.0,Sunny,India,1561129.0,,9.919,78.11953,"Chennai, also known as Madras (its official name until 1996), is the capital and largest city of Tamil Nadu, the southernmost state of India. It is located on the Coromandel Coast of the Bay of Bengal."
Tiruchirappalli Yoga Camp,2025-07-13,Tiruchirappalli,33.4,Partly Cloudy,India,916857.0,,10.826944444,78.692777777,"Tiruchirappalli (Tamil pronunciation: [ˈt̪iɾɯtːʃiɾapːaɭːi] ), also known as Trichy, is a major tier II city in the Indian state of Tamil Nadu and the administrative headquarters of Tiruchirappalli district. The city is credited with being the best livable and the cleanest city of Tamil Nadu, as well as the fifth safest city for women in India."
Salem Startup Expo,2025-07-14,Salem,31.8,Sunny,India,693236.0,,11.65,78.166666666,An unforgettable spot full of wonders!
Thanjavur Art Fest,2025-07-15,Thanjavur,32.0,Sunny,India,222943.0,,10.78523,79.13909,"Thanjavur (Tamil: [t̪aɲdʑaːʋuːɾ]), also known as Thanjai, previously known as Tanjore, is a city in the Indian state of Tamil Nadu. It is the 12th biggest city in Tamil Nadu."
Kanyakumari Beach Fest,2025-07-16,Kanyakumari,30.5,Overcast,India,19678.0,,8.091111111,77.541666666,"Kanyakumari (Tamil; /kəɳjɑkʊmɑɾiː/; lit. 'The Unmarried girl(or Kanya)' referring to Devi Kanya Kumari, officially known as Kanniyakumari, formerly known as Cape Comorin) is a town and a municipality in Kanyakumari district in the state of Tamil Nadu, India. It is the southernmost tip of the contiguous Indian subcontinent and the southernmost city in mainland India, and thus it is informally referred to as ""The Land's End""."
Rameswaram Spiritual Walk,2025-07-17,Rameswaram,30.2,Partly Cloudy,India,44856.0,,9.28,79.3,"Rameswaram (IPA: [ɾaːmeːsʋaɾam]; also transliterated as Ramesvaram, Rameshwaram) is a municipality in the Ramanathapuram district of the Indian state of Tamil Nadu. It is on Pamban Island separated from mainland India by the Pamban channel and is about 40 kilometres (25 mi) from Mannar Island, Sri Lanka."
Tirunelveli Dance Show,2025-07-18,Tirunelveli,32.7,Sunny,India,411298.0,,8.728888888,77.708055555,"Tirunelveli (Tamil: [tiɾɯnelʋeːli] ), also known as Nellai and historically (during British rule) as Tinnevelly, is a major city in the Indian state of Tamil Nadu. It is the administrative headquarters of the Tirunelveli District."
Erode Industrial Meet,2025-07-19,Erode,33.2,Sunny,India,151184.0,,11.340833333,77.717222222,"Europe is a continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere. It is bordered by the Arctic Ocean to the north, the Atlantic Ocean to the west, the Mediterranean Sea to the south, and Asia to the east."
Bengaluru Tech Day,2025-07-10,Bengaluru,28.9,Cloudy,India,12327000.0,,12.97194,77.59369,"Bengaluru, also known as Bangalore (its official name until 1 November 2014), is the capital and largest city of the southern Indian state of Karnataka. As per the 2011 census, the city had a population of 8.4 million, making it the third most populous city in India and the most populous in South India."
Mysore Heritage Rally,2025-07-11,Mysore,29.1,Sunny,India,868313.0,,12.29791,76.63925,"Mysore (  my-SOR), officially Mysuru (Kannada: [ˈmaɪˈsuːɾu] ), is a city in the southern Indian state of Karnataka. It is the headquarters of Mysore district and Mysore division."
Mangalore Food Fest,2025-07-12,Mangalore,30.2,Rainy,,,,,,"Bengaluru, also known as Bangalore (its official name until 1 November 2014), is the capital and largest city of the southern Indian state of Karnataka. As per the 2011 census, the city had a population of 8.4 million, making it the third most populous city in India and the most populous in South India."
Hubli Business Expo,2025-07-13,Hubli,31.0,Partly Cloudy,,,,,,"In Arabian mythology, Hubal (Arabic: هُبَل) was a god worshipped in pre-Islamic Arabia, notably by the Quraysh at the Kaaba in Mecca. The god's icon was a human figure believed to control acts of divination, which was performed by tossing arrows before the statue."
Belgaum Eco Meet,2025-07-14,Belgaum,30.3,Sunny,India,488157.0,,15.856944444,74.504444444,"Belgium, officially the Kingdom of Belgium, is a country in Northwestern Europe. Situated in a coastal lowland region known as the Low Countries, it is bordered by the Netherlands to the north, Germany to the east, Luxembourg to the southeast, France to the south, and the North Sea to the west."
Hyderabad Comic Con,2025-07-10,Hyderabad,32.4,Sunny,India,9305000.0,,17.361666666,78.474722222,"Hyderabad is the capital and largest city of the Indian state of Telangana. It occupies 650 km2 (250 sq mi) on the Deccan Plateau along the banks of the Musi River, in the northern part of Southern India."
Warangal Dance Night,2025-07-11,Warangal,33.1,Sunny,India,704570.0,,18.0,79.58333,"Wrangel or Wrangell is a Germanic surname. Notable people with the surname include:

Wrangel family, or Wrangell, a Baltic German noble family, including a list of notable family members
Basil Wrangell (1906–1977), Italian film and television editor and director
Herman Wrangel (c."
Vijayawada Art Exhibition,2025-07-12,Vijayawada,34.5,Sunny,India,1048240.0,,16.516666666,80.616666666,"Vijayawada (  Vijay-uh-waw-duh), formerly known by its colonial name Bezawada, is the second largest city and a major commercial hub in the Andhra Pradesh state of India. The city forms an integral part of the Andhra Pradesh Capital Region and is situated on the banks of the Krishna River, flanked by the Eastern Ghats and the scenic Indrakeeladri Hills."
Visakhapatnam Coastal Fest,2025-07-13,Visakhapatnam,31.9,Partly Cloudy,India,2035922.0,,17.733333333,83.316666666,"Visakhapatnam (; formerly known as Vizagapatam, and also referred to as Vizag, Visakha, and Waltair) is the largest and most populous metropolitan city in the Indian state of Andhra Pradesh. It is between the Eastern Ghats and the coast of the Bay of Bengal."
Mumbai Cultural Night,2025-07-10,Mumbai,30.8,Rainy,India,15414288.0,,19.075833333,72.8775,"Mumbai ( muum-BY; Marathi: Mumbaī, pronounced [ˈmumbəi] ), also known as Bombay ( bom-BAY; its official name until 1995), is the capital city of the Indian state of Maharashtra. Mumbai is the financial capital and the most populous city proper of India with an estimated population of 12.5 million (1.25 crore)."
Pune Literature Festival,2025-07-11,Pune,29.5,Cloudy,India,5945000.0,,18.519574,73.855287,A beautiful city worth visiting!
Nagpur Science Expo,2025-07-12,Nagpur,33.8,Sunny,India,2228018.0,,21.149722222,79.080555555,Nagpur (Marathi: [naːɡpuːɾ]; ISO: Nāgapura) is the second capital and third-largest city of the Indian state of Maharashtra. It is called the heart of India because of its central geographical location.
Nashik Wine Fair,2025-07-13,Nashik,32.0,Partly Cloudy,India,1486053.0,,20.0,73.783333333,Famous for its unique vibe and attractions.
Shirdi Devotional Day,2025-07-14,Shirdi,31.5,Sunny,India,31978.0,,19.77,74.48,Famous for its unique vibe and attractions.
Delhi Fashion Week,2025-07-10,Delhi,35.2,Overcast,,,,,,"Del, or nabla, is an operator used in mathematics (particularly in vector calculus) as a vector differential operator, usually represented by the nabla symbol ∇. When applied to a function defined on a one-dimensional domain, it denotes the standard derivative of the function as defined in calculus."
Agra Heritage Walk,2025-07-11,Agra,34.0,Sunny,India,1585705.0,,27.18,78.02,A must-visit place with rich culture!
Jaipur Royal Parade,2025-07-12,Jaipur,33.5,Sunny,India,3073350.0,,26.916666666,75.866666666,"Jaipur (Hindi: Jayapura, pronounced [ˈd͡ʑɛʲpʊɾᵊ] ) is the capital and the largest city of the north-western Indian state of Rajasthan. As of 2011, the city had a population of 3.1 million, making it the tenth most populous city in the country."
